y(t-1),y(t-2),y(t-3),y(t)
108,94,91,155
155,108,94,171
171,155,108,1280
1280,171,155,1230
1230,1280,171,881
881,1230,1280,694
694,881,1230,567
567,694,881,490
490,567,694,436
436,490,567,384
384,436,490,325
325,384,436,255
255,325,384,238
238,255,325,216
216,238,255,193
193,216,238,181
181,193,216,174
174,181,193,175
175,174,181,173
173,175,174,159
159,173,175,145
145,159,173,141
141,145,159,143
143,141,145,145
145,143,141,146
146,145,143,145
145,146,145,143
143,145,146,132
132,143,145,129
129,132,143,126
126,129,132,133
133,126,129,131
131,133,126,140
140,131,133,148
148,140,131,151
151,148,140,161
161,151,148,166
166,161,151,158
158,166,161,147
147,158,166,146
146,147,158,143
143,146,147,140
140,143,146,141
141,140,143,141
141,141,140,141
141,141,141,140
140,141,141,139
139,140,141,139
139,139,140,133
133,139,139,135
135,133,139,133
133,135,133,133
133,133,135,133
133,133,133,133
133,133,133,133
133,133,133,133
133,133,133,133
133,133,133,133
133,133,133,133
133,133,133,133
133,133,133,133
133,133,133,135
135,133,133,128
128,135,133,125
125,128,135,127
127,125,128,125
125,127,125,120
120,125,127,118
118,120,125,122
122,118,120,116
116,122,118,126
126,116,122,138
138,126,116,138
138,138,126,136
136,138,138,140
140,136,138,138
138,140,136,131
131,138,140,128
128,131,138,134
134,128,131,138
138,134,128,137
137,138,134,140
140,137,138,135
135,140,137,133
133,135,140,134
134,133,135,153
153,134,133,157
157,153,134,180
180,157,153,210
210,180,157,253
253,210,180,249
249,253,210,249
249,249,253,224
224,249,249,268
268,224,249,302
302,268,224,332
332,302,268,336
336,332,302,331
331,336,332,325
325,331,336,327
327,325,331,328
328,327,325,328
328,328,327,321
321,328,328,320
320,321,328,313
313,320,321,302
302,313,320,293
293,302,313,290
290,293,302,276
276,290,293,260
260,276,290,240
240,260,276,229
229,240,260,200
200,229,240,180
180,200,229,160
160,180,200,141
141,160,180,144
144,141,160,137
137,144,141,137
137,137,144,142
142,137,137,143
143,142,137,146
146,143,142,149
149,146,143,176
176,149,146,265
265,176,149,429
429,265,176,427
427,429,265,414
414,427,429,422
422,414,427,501
501,422,414,600
600,501,422,677
677,600,501,775
775,677,600,903
903,775,677,970
970,903,775,940
940,970,903,896
896,940,970,876
876,896,940,887
887,876,896,883
883,887,876,838
838,883,887,790
790,838,883,749
749,790,838,705
705,749,790,666
666,705,749,637
637,666,705,611
611,637,666,605
605,611,637,572
572,605,611,542
542,572,605,522
522,542,572,485
485,522,542,431
431,485,522,387
387,431,485,338
338,387,431,310
310,338,387,282
282,310,338,245
245,282,310,235
235,245,282,232
232,235,245,223
223,232,235,208
208,223,232,200
200,208,223,194
194,200,208,176
176,194,200,162
162,176,194,156
156,162,176,151
151,156,162,156
156,151,156,154
154,156,151,138
138,154,156,128
128,138,154,122
122,128,138,121
121,122,128,117
117,121,122,115
115,117,121,117
117,115,117,114
114,117,115,113
113,114,117,119
119,113,114,150
150,119,113,174
174,150,119,179
179,174,150,162
162,179,174,139
139,162,179,134
134,139,162,124
124,134,139,117
117,124,134,115
115,117,124,118
118,115,117,116
116,118,115,112
112,116,118,104
104,112,116,99
99,104,112,102
102,99,104,341
341,102,99,202
202,341,102,203
203,202,341,217
217,203,202,208
208,217,203,190
190,208,217,181
181,190,208,188
188,181,190,177
177,188,181,165
165,177,188,278
278,165,177,187
187,278,165,183
183,187,278,167
167,183,187,151
151,167,183,141
141,151,167,129
129,141,151,117
117,129,141,108
108,117,129,91
91,108,117,71
71,91,108,55
55,71,91,46
46,55,71,39
39,46,55,38
38,39,46,35
35,38,39,31
31,35,38,116
116,31,35,72
72,116,31,60
60,72,116,53
53,60,72,48
48,53,60,54
54,48,53,47
47,54,48,42
42,47,54,37
37,42,47,37
37,37,42,37
37,37,37,39
39,37,37,36
36,39,37,36
36,36,39,35
35,36,36,32
32,35,36,32
32,32,35,30
30,32,32,30
30,30,32,30
30,30,30,30
30,30,30,29
29,30,30,29
29,29,30,30
30,29,29,31
31,30,29,32
32,31,30,31
31,32,31,29
